%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1575033823462017210,0,3131853105000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0457763671875,0.656127929688,-0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19140625,0.421093761921,9.51289081573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033823629190596,1,3131953044000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106811523438,0.106811523438,0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21054688096,0.516796886921,9.41718769073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033823801525348,2,3132053532000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228881835938,0.18310546875,0.06103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13398437947,0.468945324421,9.35976600647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033823999302528,3,3132173029000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579833984375,0.54931640625,-0.030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172265633941,0.516796886921,9.26406288147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033824184742343,4,3132272139000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1220703125,-0.18310546875,0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19140625,0.440234392881,9.55117225647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033824357488065,5,3132372445000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656127929688,0.396728515625,0.06103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095703125,0.507226571441,9.31191444397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033824537433185,6,3132472028000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.152587890625,0.18310546875,0.06103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24882812798,0.421093761921,9.64687538147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033824717698587,7,3132582028000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.152587890625,0.0762939453125,-0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30625000596,0.3828125,9.5894536972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033824905081904,8,3132682028000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91552734375,0.442504882812,-0.0457763671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095703125,0.535937488079,9.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575033825078365054,9,3132792087000,gps_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518798828125,0.473022460938,-0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19140625,0.40195313096,9.3980474472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
