Time Stamp,Lat,Long,Alt,Azi,Pitch,Roll,Vn,Ve,Vu,Forward Speed
59631.8,43.65927866,-79.37822719,63.6688,343.05792,0.059514062,-0.481981599,-0.0024,0.0028,-0.0053,0.006456779
59632,43.65927866,-79.37822719,63.6689,343.0563571,0.063898076,-0.46515279,0.0055,-0.0061,-0.0002,0.008215838
59632.2,43.65927867,-79.3782272,63.6689,343.0628006,0.065505644,-0.47240165,0.0031,-0.0023,-0.0019,0.004302325
59632.4,43.65927867,-79.3782272,63.6689,343.0612717,0.065278815,-0.46641691,-0.0041,0.0033,-0.0042,0.006733498
59632.6,43.65927867,-79.3782272,63.669,343.0599084,0.06719982,-0.470217087,-0.0039,-0.0004,-0.0021,0.004447471
59632.8,43.65927867,-79.3782272,63.669,343.063039,0.067390994,-0.471474068,-0.0008,0.0029,-0.0019,0.003558089
59633,43.65927867,-79.3782272,63.669,343.0606387,0.067573401,-0.4616369,-0.0023,-0.0013,-0.0028,0.003849675
59633.2,43.65927867,-79.37822721,63.669,343.0555567,0.063506488,-0.466783744,-0.0008,0.0015,-0.0011,0.002024846
59633.4,43.65927867,-79.37822721,63.669,343.0557304,0.066275395,-0.461365748,-0.0021,-0.0004,-0.0023,0.003140064
59633.6,43.65927867,-79.37822721,63.669,343.0520853,0.064919954,-0.461378442,-0.0005,-0.0005,-0.0002,0.000734847
59633.8,43.65927867,-79.37822721,63.669,343.0548713,0.063594947,-0.460530161,-0.0005,0.0006,-0.0017,0.001870829
59634,43.65927867,-79.37822721,63.669,343.0516818,0.061798992,-0.455471646,-0.003,-0.0023,-0.0023,0.004424929
59634.2,43.65927867,-79.37822721,63.669,343.0532485,0.060669634,-0.457478467,-0.0001,0.0015,-0.0013,0.001987461
59634.4,43.65927867,-79.37822722,63.669,343.0531049,0.060704212,-0.452919224,-0.0003,0,-0.0014,0.001431782
59634.6,43.65927867,-79.37822722,63.669,343.0531888,0.060132008,-0.456832482,-0.0009,0.0009,-0.0012,0.001749286
59634.8,43.65927867,-79.37822722,63.669,343.0533053,0.061180167,-0.451788583,-0.0004,0.0008,-0.0016,0.00183303
59635,43.65927867,-79.37822722,63.669,343.0526287,0.059544335,-0.457571317,-0.0005,-0.0013,-0.0032,0.003489986
59635.2,43.65927867,-79.37822722,63.669,343.0542906,0.060143912,-0.453945655,0.0002,0.0033,-0.0013,0.003552464
59635.4,43.65927867,-79.37822722,63.669,343.0529085,0.057324634,-0.455795312,-0.0007,-0.0029,-0.0005,0.003024897
59635.6,43.65927868,-79.37822723,63.6689,343.0571031,0.058857747,-0.467642722,0.0007,0.0008,-0.0002,0.001081665
59635.8,43.65927868,-79.37822723,63.6689,343.0535602,0.056361083,-0.463819732,0.0006,0.0026,-0.0041,0.00489183
59636,43.65927868,-79.37822723,63.6689,343.0562349,0.056893041,-0.462774956,-0.0002,0,0.0009,0.000921954
59636.2,43.65927868,-79.37822723,63.6688,343.0567249,0.057829845,-0.468018859,0.0009,0.0019,-0.0017,0.002703701
59636.4,43.65927868,-79.37822723,63.6688,343.0562156,0.05681723,-0.463150672,0.0012,0.0024,-0.0026,0.003736308
59636.6,43.65927868,-79.37822723,63.6688,343.0556905,0.055178342,-0.463793777,0.0017,0.0012,-0.0016,0.002624881
59636.8,43.65927868,-79.37822723,63.6687,343.0573942,0.05514709,-0.464343478,0.0013,0.0033,-0.0008,0.003635932
59637,43.65927868,-79.37822723,63.6687,343.0563436,0.056495859,-0.463069948,0.0009,0.0019,0.0004,0.002140093
59637.2,43.65927868,-79.37822723,63.6687,343.0577019,0.055977518,-0.466705225,0.0007,-0.0004,-0.0012,0.001445683
59637.4,43.65927868,-79.37822724,63.6686,343.0580766,0.056488333,-0.469010714,0.0007,-0.0001,-0.001,0.001224745
59637.6,43.65927868,-79.37822724,63.6686,343.058369,0.055796898,-0.466947634,0.0001,0.0005,-0.0014,0.001489966
59637.8,43.65927868,-79.37822724,63.6686,343.0576157,0.056284875,-0.466372157,-0.0003,-0.0005,-0.0013,0.001424781
59638,43.65927868,-79.37822724,63.6685,343.0582455,0.056584752,-0.466617205,-0.001,-0.0007,-0.0008,0.001459452
59638.2,43.65927868,-79.37822724,63.6685,343.0582752,0.056085946,-0.465491008,-0.0013,0.0008,-0.0006,0.001640122
59638.4,43.65927868,-79.37822724,63.6684,343.0589949,0.056395007,-0.465362874,-0.0027,0.0005,-0.0001,0.002747726
59638.6,43.65927868,-79.37822724,63.6684,343.0573603,0.05677304,-0.46634175,-0.003,0.0005,-0.0005,0.003082207
59638.8,43.65927868,-79.37822724,63.6683,343.0588973,0.0570019,-0.467097579,-0.0022,0.0022,0.0007,0.003189044
59639,43.65927868,-79.37822724,63.6683,343.0577504,0.057444437,-0.46541572,-0.0027,0.0001,-0.0018,0.003246537
59639.2,43.65927868,-79.37822724,63.6683,343.0582711,0.054036268,-0.465329824,0.0001,0.0015,0.0002,0.001516575
59639.4,43.65927868,-79.37822724,63.6682,343.0593252,0.054727178,-0.465158439,-0.0012,0.0017,-0.0002,0.002090454
59639.6,43.65927868,-79.37822724,63.6682,343.0578708,0.054105206,-0.464496866,0.0002,0.0009,0.0007,0.001157584
59639.8,43.65927868,-79.37822724,63.6682,343.0589124,0.055022234,-0.465749092,-0.0005,0.001,-0.0001,0.001122497
59640,43.65927868,-79.37822724,63.6681,343.0580829,0.054468434,-0.465718055,0.0002,0.0011,-0.0001,0.001122497
59640.2,43.65927868,-79.37822724,63.6681,343.0575399,0.053142468,-0.465041457,-0.0005,0.0003,-0.001,0.001157584
59640.4,43.65927868,-79.37822725,63.6681,343.0580071,0.053786154,-0.46875941,-0.0012,-0.0003,-0.0011,0.001655295
59640.6,43.65927868,-79.37822725,63.668,343.0571642,0.052838004,-0.46553981,-0.0014,0.001,0.0003,0.001746425
59640.8,43.65927868,-79.37822725,63.668,343.0578859,0.05346221,-0.468383827,-0.0024,-0.0014,-0.0009,0.002920616
59641,43.65927868,-79.37822725,63.6679,343.0571095,0.053527129,-0.469142758,-0.0019,0.0002,0.0002,0.001920937
59641.2,43.65927868,-79.37822725,63.6679,343.0580673,0.050928756,-0.466486036,-0.0005,-0.0021,0.0001,0.002161018
59641.4,43.65927868,-79.37822725,63.6679,343.0574389,0.053165356,-0.466857615,-0.0006,-0.0016,-0.0025,0.003028201
59641.6,43.65927868,-79.37822725,63.6678,343.0579465,0.051459183,-0.463304865,0.0006,-0.0027,-0.0022,0.003534119
59641.8,43.65927868,-79.37822725,63.6678,343.0575911,0.051882525,-0.465818968,0,-0.0031,-0.0024,0.003920459
59642,43.65927868,-79.37822725,63.6677,343.0579398,0.05116607,-0.465110383,0.0009,-0.0022,-0.002,0.003106445
59642.2,43.65927868,-79.37822725,63.6677,343.058195,0.052890568,-0.465503152,0,-0.0029,-0.0002,0.002906888
59642.4,43.65927868,-79.37822725,63.6676,343.0593916,0.053193703,-0.465828931,0,-0.0002,-0.0015,0.001513275
59642.6,43.65927868,-79.37822725,63.6676,343.0580225,0.052836966,-0.462388883,0.0004,0,-0.0016,0.001649242
59642.8,43.65927868,-79.37822725,63.6676,343.058389,0.053781574,-0.46572312,0.0003,-0.0007,-0.0003,0.000818535
59643,43.65927868,-79.37822725,63.6675,343.0583377,0.052101185,-0.466283158,0.001,-0.0003,-0.0005,0.001157584
59643.2,43.65927868,-79.37822725,63.6675,343.0580132,0.054104747,-0.463392558,0.0002,0.0016,-0.0007,0.00175784
59643.4,43.65927868,-79.37822725,63.6674,343.0583647,0.053431809,-0.464575304,0.0007,-0.0001,-0.0004,0.000812404
59643.6,43.65927868,-79.37822725,63.6674,343.0581588,0.05338036,-0.464529845,0.0009,0.0013,-0.0009,0.001819341
59643.8,43.65927868,-79.37822725,63.6673,343.0586747,0.053095438,-0.462832976,0.0006,0,0.0005,0.000781025
59644,43.65927868,-79.37822726,63.6673,343.0579024,0.053158089,-0.463877959,0.0007,-0.0001,-0.0006,0.000927362
59644.2,43.65927868,-79.37822726,63.6672,343.0586793,0.053222137,-0.463862267,0.0014,0.0007,0.0004,0.001615549
59644.4,43.65927868,-79.37822726,63.6672,343.0587433,0.054066203,-0.463842856,0.0002,-0.0007,-0.0008,0.001081665
59644.6,43.65927868,-79.37822726,63.6671,343.0583026,0.053838632,-0.46383524,0.0026,-0.0001,-0.0012,0.00286531
59644.8,43.65927868,-79.37822726,63.6671,343.0590818,0.052907779,-0.462648447,0.0029,-0.0008,-0.0011,0.003203123
59645,43.65927868,-79.37822726,63.667,343.0577065,0.054240832,-0.463509831,0.0033,-0.0015,-0.0017,0.004003748
59645.2,43.65927868,-79.37822726,63.667,343.060976,0.055844135,-0.464889737,0.0027,-0.0014,-0.0017,0.00348425
59645.4,43.65927868,-79.37822726,63.6669,343.0599616,0.057255586,-0.463841168,0.0026,-0.0014,-0.0024,0.00380526
59645.6,43.65927868,-79.37822726,63.6669,343.0601526,0.056069056,-0.461262711,0.0034,-0.0019,-0.0028,0.004796874
59645.8,43.65927868,-79.37822726,63.6668,343.0608092,0.055942487,-0.462405028,0.0022,-0.0016,-0.0034,0.004354308
59646,43.65927868,-79.37822726,63.6667,343.0588114,0.055793107,-0.46002881,0.0028,-0.0004,-0.0018,0.003352611
59646.2,43.65927868,-79.37822726,63.6667,343.0617166,0.056638773,-0.466116606,0.0004,-0.0016,-0.0026,0.003078961
59646.4,43.65927868,-79.37822726,63.6666,343.0601052,0.057611619,-0.466580348,0.0015,0.0003,-0.0021,0.002598076
59646.6,43.65927868,-79.37822727,63.6666,343.0610069,0.057231833,-0.462415676,0.0006,-0.0005,-0.0018,0.001962142
59646.8,43.65927868,-79.37822727,63.6665,343.0605415,0.057945113,-0.46750619,0.0002,-0.0017,-0.0031,0.003541186
